id_estudiante,edad,genero,lugar_origen,promedio_bachillerato,puntaje_admision,nota_primer_semestre,nivel_socioeconomico,beca,prestamo,ayuda_financiera,desercion
389,33.0,F,Otra,3.54,231.0,4.14,3,no,no,si,no
390,18.0,M,Barranquilla,4.18,476.0,3.74,4,si,si,no,no
391,16.0,M,Otra,2.97,219.0,3.77,3,si,si,no,si
392,16.0,M,Barranquilla,3.08,353.0,3.99,4,no,no,si,si
393,34.0,M,Cartagena,2.85,267.0,3.07,2,si,si,si,no
394,26.0,F,Barranquilla,2.59,413.0,3.16,5,si,no,no,no
395,20.0,F,Monteria,2.81,342.0,2.51,4,no,si,no,no
396,27.0,F,Santa Marta,2.47,431.0,2.75,1,no,no,si,si
397,18.0,M,Cartagena,3.22,412.0,3.49,3,no,no,si,no
398,16.0,F,Barranquilla,2.74,278.0,3.96,2,no,no,si,si
399,16.0,M,Otra,,413.0,2.89,1,no,si,si,si
400,23.0,M,Cartagena,2.27,315.0,2.64,2,no,no,si,si
401,25.0,F,Cartagena,3.4,291.0,3.0,5,si,si,si,no
402,26.0,F,Barranquilla,3.7,469.0,3.48,3,si,no,no,si
403,27.0,F,Cartagena,2.0,367.0,1.84,3,no,si,si,si
404,28.0,M,Otra,3.42,257.0,1.16,5,si,si,si,no
405,27.0,F,Cartagena,3.94,483.0,2.56,3,no,no,si,no
406,29.0,M,Otra,2.47,225.0,2.02,4,no,no,si,si
407,17.0,F,Barranquilla,4.2,265.0,2.59,2,no,no,no,si
408,34.0,M,Santa Marta,3.45,447.0,2.88,1,no,no,no,si
409,33.0,M,Cartagena,2.78,453.0,2.64,5,si,no,si,no
410,18.0,F,Santa Marta,3.17,243.0,4.16,4,no,si,no,si
411,32.0,M,Otra,3.53,296.0,3.26,1,si,no,no,no
412,23.0,M,Cartagena,3.25,,3.24,1,no,no,no,si
413,25.0,F,Monteria,3.52,426.0,3.5,5,no,si,no,si
414,17.0,M,Santa Marta,2.65,461.0,2.09,4,no,no,no,si
415,34.0,F,Cartagena,3.3,366.0,3.83,1,si,no,no,no
416,24.0,M,Santa Marta,2.35,478.0,2.94,1,no,si,si,si
417,22.0,F,Cartagena,3.13,288.0,3.54,4,no,no,si,si
418,19.0,F,Barranquilla,2.66,377.0,2.14,3,no,no,si,no
419,33.0,M,Santa Marta,2.76,396.0,1.76,1,si,no,si,si
420,28.0,M,Monteria,3.94,466.0,3.65,2,si,si,si,no
421,26.0,M,Monteria,3.85,467.0,3.3,4,si,no,no,si
422,,M,Otra,3.57,273.0,2.28,1,no,si,si,si
423,19.0,M,Cartagena,2.54,207.0,2.3,5,si,no,si,no
424,25.0,F,Santa Marta,3.01,496.0,3.9,2,no,si,no,si
425,20.0,M,Otra,3.93,363.0,2.05,1,si,no,no,no
426,24.0,F,Santa Marta,3.29,284.0,4.31,2,si,si,si,si
427,18.0,F,Cartagena,4.59,271.0,2.28,2,no,si,no,si
428,32.0,M,Monteria,3.44,254.0,3.51,3,si,si,no,no
429,18.0,F,Barranquilla,3.32,246.0,2.74,2,no,si,no,si
430,31.0,F,Monteria,3.01,437.0,3.48,3,no,si,no,no
431,19.0,F,Otra,3.28,303.0,2.56,4,si,si,si,si
432,33.0,F,Barranquilla,3.11,409.0,2.87,3,no,no,no,si
433,32.0,M,Otra,3.62,241.0,,5,no,no,si,si
434,22.0,F,Cartagena,,467.0,2.2,1,si,si,si,si
435,20.0,M,Barranquilla,2.73,462.0,3.59,4,si,si,no,no
436,27.0,M,Otra,2.4,458.0,2.59,4,no,si,no,no
437,32.0,F,Cartagena,2.1,482.0,2.82,5,si,si,no,no
438,28.0,M,Monteria,3.5,313.0,2.2,3,no,no,si,no
439,18.0,M,Cartagena,2.54,239.0,0.95,1,no,si,no,si
440,24.0,M,Santa Marta,1.91,419.0,2.85,3,si,no,no,no
441,32.0,F,Cartagena,3.43,328.0,4.93,2,si,no,no,si
442,32.0,M,Cartagena,4.7,207.0,3.63,3,si,si,no,si
443,31.0,M,Santa Marta,3.2,300.0,2.98,4,si,si,no,no
444,28.0,M,Otra,3.7,375.0,2.79,1,no,no,si,si
445,34.0,F,Otra,3.25,306.0,3.02,3,no,no,no,si
446,32.0,M,Cartagena,3.14,300.0,3.44,1,si,si,no,no
447,19.0,F,Santa Marta,3.75,459.0,2.06,1,si,si,no,si
448,27.0,F,Santa Marta,3.03,445.0,3.89,2,no,si,si,si
449,24.0,F,Monteria,3.36,474.0,3.57,2,no,no,no,si
450,34.0,F,Otra,3.39,,3.57,4,no,no,si,si
451,27.0,F,Barranquilla,2.8,336.0,3.35,5,no,si,si,no
452,,F,Otra,3.8,211.0,3.02,1,si,no,no,si
453,22.0,M,Otra,3.1,215.0,3.54,5,no,no,no,si
454,29.0,F,Monteria,2.75,328.0,3.47,4,no,si,no,si
455,34.0,M,Barranquilla,3.52,262.0,2.72,1,si,si,si,si
456,30.0,M,Monteria,2.66,308.0,2.54,1,no,no,si,si
457,31.0,F,Barranquilla,3.22,220.0,3.08,5,no,no,si,no
458,20.0,M,Cartagena,3.19,357.0,4.24,3,si,si,si,no
459,18.0,M,Barranquilla,3.85,468.0,2.01,2,si,si,si,no
460,27.0,M,Monteria,3.48,361.0,1.83,3,si,si,si,no
461,19.0,M,Otra,3.18,459.0,3.13,5,no,si,no,no
462,31.0,F,Barranquilla,3.69,301.0,3.04,2,no,si,no,si
463,22.0,M,Barranquilla,4.03,422.0,3.14,3,si,no,si,no
464,28.0,F,Santa Marta,3.53,258.0,3.2,2,si,no,no,si
465,25.0,M,Otra,3.21,446.0,2.82,1,no,no,no,si
466,22.0,M,Cartagena,2.41,327.0,,3,si,no,si,no
467,29.0,F,Monteria,2.56,482.0,,2,si,si,si,no
468,20.0,M,Cartagena,3.02,224.0,2.34,2,si,si,no,si
469,18.0,M,Otra,2.83,330.0,2.92,2,no,si,si,no
470,26.0,M,Barranquilla,3.09,395.0,1.69,3,no,no,si,si
471,26.0,F,Barranquilla,3.23,480.0,2.86,4,no,no,no,no
472,33.0,M,Otra,3.52,353.0,4.33,3,no,no,si,no
473,30.0,F,Barranquilla,3.16,332.0,3.02,5,no,si,no,no
474,27.0,M,Barranquilla,3.49,426.0,3.18,3,no,no,no,si
475,24.0,F,Barranquilla,3.24,388.0,1.99,2,si,si,no,si
476,25.0,F,Monteria,2.01,464.0,2.51,1,no,si,no,si
477,27.0,M,Monteria,2.64,333.0,2.7,3,no,si,no,si
478,32.0,M,Santa Marta,3.11,410.0,2.75,3,si,si,si,si
479,21.0,F,Cartagena,2.47,259.0,4.03,2,no,si,si,si
480,22.0,F,Otra,3.56,412.0,3.45,1,no,si,si,no
481,29.0,M,Otra,4.12,415.0,2.11,1,si,no,si,no
482,28.0,F,Otra,,425.0,3.2,5,si,si,no,si
483,23.0,M,Santa Marta,3.07,330.0,3.4,3,si,si,no,si
484,25.0,M,Monteria,4.09,275.0,3.91,1,no,no,si,si
485,24.0,M,Santa Marta,3.29,485.0,4.26,1,si,si,no,no
486,33.0,M,Otra,3.0,476.0,2.19,4,no,no,si,no
487,17.0,F,Cartagena,2.83,355.0,2.35,4,no,no,si,no
488,20.0,M,Barranquilla,3.02,447.0,1.99,1,no,no,si,no
489,20.0,F,Monteria,2.97,417.0,,5,no,si,no,no
490,21.0,M,Monteria,3.3,389.0,3.37,1,si,si,no,si
491,34.0,F,Santa Marta,3.3,362.0,3.79,2,si,no,no,si
492,23.0,M,Monteria,3.2,379.0,2.94,3,no,si,no,no
493,31.0,F,Otra,3.46,233.0,2.74,5,si,si,si,si
494,28.0,F,Otra,3.91,240.0,3.12,2,no,no,no,si
495,16.0,M,Santa Marta,3.77,274.0,2.33,5,no,no,no,no
496,32.0,M,Otra,2.31,478.0,4.67,2,no,si,no,no
497,22.0,M,Cartagena,1.67,375.0,1.71,3,si,no,si,no
498,28.0,M,Santa Marta,3.76,349.0,3.15,3,no,no,si,no
499,19.0,F,Cartagena,2.38,472.0,4.62,4,no,no,no,no
500,19.0,M,Barranquilla,3.07,307.0,3.01,2,si,si,no,si
